image,prompt,label,label_idx
./data/axolotl/axolotl-157.jpg,"an axolotl in the zoo, and a little boy staring through the glass, anime style",axolotl,2
./data/narwhal/narwhal-29.jpg,"a photorealistic narwhal deep in the ocean hunting fish, National Geographic",narwhal,1
./data/axolotl/axolotl-214.jpg,Axolotl exercising with bing,axolotl,2
./data/narwhal/narwhal-177.jpg,A painting of a majestic narwhal conducting an orchestra,narwhal,1
./data/axolotl/axolotl-220.jpg,A Van gogh style painting of an axolotl,axolotl,2
./data/parrot/parrot-204.jpg,an indian parrot flying in a sky spotted with clouds,parrot,0
./data/parrot/parrot-97.jpg,photorealistic colorful parrot in the wild,parrot,0
./data/axolotl/axolotl-21.jpg,Axolotl on land cartoon style and colorful,axolotl,2
./data/axolotl/axolotl-56.jpg,An axolotl sitting in a small house at night for a quick nap,axolotl,2
./data/parrot/parrot-148.jpg,"create a splender, photorealistic photo of a parrot standing on its owner's arm",parrot,0
./data/narwhal/narwhal-243.jpg,narwhal eating pasta in an italian restaurant,narwhal,1
./data/parrot/parrot-213.jpg,parrot in intro to machine learning class,parrot,0
./data/parrot/parrot-199.jpg,Generate an image of a parrot studying generative AI at a world-renowned university,parrot,0
./data/narwhal/narwhal-9.jpg,a cartoon narwhal jumping into a swimming pool wearing floaties,narwhal,1
./data/axolotl/axolotl-205.jpg,Generate an image of a cute axolotl.,axolotl,2
./data/narwhal/narwhal-18.jpg,A baby narwhal in the Pacific Ocean. It is swimming along other narwhals in the back. There are other ocean animals swimming too,narwhal,1
./data/axolotl/axolotl-2.jpg,painting of axolotl driving a porche through paris,axolotl,2
./data/axolotl/axolotl-194.jpg,A fast axolotl swimming through a vibrant fish tank in cubist style.,axolotl,2
./data/narwhal/narwhal-200.jpg,A narwhal is hunting after a crowd of fishes in the ocean on a clear sun shining morning because it is starving,narwhal,1
./data/narwhal/narwhal-94.jpg,narwhal swimming in the ocean with ancient underwater ruins in the background,narwhal,1
./data/axolotl/axolotl-62.jpg,An axolotl who becomes an astrophysicist after it learns how to spell its name,axolotl,2
./data/axolotl/axolotl-138.jpg,A pink axolotl that looks menacing and cartoonish that is petting a puppy next to a lake shore.,axolotl,2
./data/parrot/parrot-86.jpg,cartoon rainbow parrot eating a cucumber slice,parrot,0
./data/parrot/parrot-208.jpg,A parrot flying over NYC at night,parrot,0
./data/narwhal/narwhal-237.jpg,"Narwal at the beach, resting with rainbow in the back",narwhal,1
./data/parrot/parrot-209.jpg,A parrot wearing sunglasses traveling across the Sahara desert,parrot,0
./data/narwhal/narwhal-70.jpg,"An cinematic image of a large, aquatic mammal known for its distinctive long, spiraled tusk protruding from its head. This tusk is actually a tooth and can grow up to several feet in length. The creature has a streamlined body, a mottled grey color, and is found in Arctic waters. It's known for its role in ancient maritime folklore and is often called the 'unicorn of the sea' due to its unique tusk.",narwhal,1
./data/axolotl/axolotl-135.jpg,animated axolotls swimming in the ocean,axolotl,2
./data/axolotl/axolotl-104.jpg,A sleepy axolotl pilot is driving an airplane in the sky in the midnight.,axolotl,2
./data/axolotl/axolotl-207.jpg,"an axolotl visiting the city for the first time, in the art style of chibi anime",axolotl,2
./data/parrot/parrot-120.jpg,parrot doing geometry homework on snowy day,parrot,0
./data/narwhal/narwhal-108.jpg,"a narwhal except his tusk is a spitting image of happy gilmore. The narwhal is in a cartoonish style, but his happy gilmore tusk is photorealistic.",narwhal,1
./data/axolotl/axolotl-195.jpg,Axolotl exploring the streets of new york,axolotl,2
./data/axolotl/axolotl-106.jpg,silly axolotl tries to open a can of words,axolotl,2
./data/parrot/parrot-67.jpg,"A parrot with colorful feathers, looking curious, during a sunny day, sitting in a small tree, in a cartoon style",parrot,0
./data/narwhal/narwhal-83.jpg,group of narwhals swimming on surface of ocean cartoon,narwhal,1
./data/axolotl/axolotl-67.jpg,"An axolotl with feathery gills, in a calm pond, surrounded by water plants, in a cartoon style.",axolotl,2
./data/parrot/parrot-66.jpg,A parrot doing parkour on Mount Everest with a helicopter with google eyes flying in the background,parrot,0
